rank,title,authors,categories,description,published_year,average_rating,ratings_count,edition_count,isbn_10,isbn_13,source,source_id,canonical_url,thumbnail,popularity_score
1,Alice's Adventures in Wonderland,Lewis Carroll,fantasy,,1865,,,3546,,,openlibrary,OL138052W,https://openlibrary.org/works/OL138052W,https://covers.openlibrary.org/b/id/10527843-M.jpg,354.6
2,Wuthering Heights,Emily Brontë,romance,,1846,,,2850,,,openlibrary,OL21177W,https://openlibrary.org/works/OL21177W,https://covers.openlibrary.org/b/id/12818862-M.jpg,285.0
3,Emma,Jane Austen,romance,,1815,,,2261,,,openlibrary,OL66513W,https://openlibrary.org/works/OL66513W,https://covers.openlibrary.org/b/id/9278312-M.jpg,226.10000000000002
4,The Wonderful Wizard of Oz,L. Frank Baum,fantasy,,1899,,,2052,,,openlibrary,OL18417W,https://openlibrary.org/works/OL18417W,https://covers.openlibrary.org/b/id/552443-M.jpg,205.20000000000002
5,Sense and Sensibility,Jane Austen,romance,,1811,,,2015,,,openlibrary,OL66562W,https://openlibrary.org/works/OL66562W,https://covers.openlibrary.org/b/id/9278292-M.jpg,201.5
6,Treasure Island,Robert Louis Stevenson,"thriller, fantasy",,1880,,,1984,,,openlibrary,OL24034W,https://openlibrary.org/works/OL24034W,https://covers.openlibrary.org/b/id/13859660-M.jpg,198.4
7,Little Women,Louisa May Alcott,romance,,1848,,,1887,,,openlibrary,OL29983W,https://openlibrary.org/works/OL29983W,https://covers.openlibrary.org/b/id/8775559-M.jpg,188.70000000000002
8,Gulliver's Travels,Jonathan Swift,fantasy,,1726,,,1809,,,openlibrary,OL20600W,https://openlibrary.org/works/OL20600W,https://covers.openlibrary.org/b/id/12717083-M.jpg,180.9
9,The Prince,Niccolò Machiavelli,fantasy,,1515,,,1406,,,openlibrary,OL1089297W,https://openlibrary.org/works/OL1089297W,https://covers.openlibrary.org/b/id/12726168-M.jpg,140.6
10,Through the Looking-Glass,"Lewis Carroll, Lewis Carroll, Lewis Lewis Carroll",fantasy,,1865,,,1378,,,openlibrary,OL151406W,https://openlibrary.org/works/OL151406W,https://covers.openlibrary.org/b/id/11272464-M.jpg,137.8
11,The Wind in the Willows,Kenneth Grahame,fantasy,,1908,,,1346,,,openlibrary,OL28570037W,https://openlibrary.org/works/OL28570037W,https://covers.openlibrary.org/b/id/13335427-M.jpg,134.6
12,Анна Каренина,Лев Толстой,romance,,1876,,,1314,,,openlibrary,OL267096W,https://openlibrary.org/works/OL267096W,https://covers.openlibrary.org/b/id/2560652-M.jpg,131.4
13,Jane Eyre,Charlotte Brontë,romance,,1847,,,1169,,,openlibrary,OL1095427W,https://openlibrary.org/works/OL1095427W,https://covers.openlibrary.org/b/id/8235363-M.jpg,116.9
14,The Mysterious Affair at Styles,"Agatha Christie, Aric Cushing, Bookstar",thriller,,1920,,,1017,,,openlibrary,OL472715W,https://openlibrary.org/works/OL472715W,https://covers.openlibrary.org/b/id/13699667-M.jpg,101.7
15,Northanger Abbey,Jane Austen,romance,,1818,,,1011,,,openlibrary,OL66534W,https://openlibrary.org/works/OL66534W,https://covers.openlibrary.org/b/id/12567961-M.jpg,101.10000000000001
16,Ethan Frome,Edith Wharton,romance,,1910,,,1000,,,openlibrary,OL98501W,https://openlibrary.org/works/OL98501W,https://covers.openlibrary.org/b/id/8303480-M.jpg,100.0
17,Five Children and It,Edith Nesbit,fantasy,,1905,,,950,,,openlibrary,OL99499W,https://openlibrary.org/works/OL99499W,https://covers.openlibrary.org/b/id/28174-M.jpg,95.0
18,A Midsummer Night's Dream,William Shakespeare,fantasy,,1600,,,947,,,openlibrary,OL259010W,https://openlibrary.org/works/OL259010W,https://covers.openlibrary.org/b/id/7205924-M.jpg,94.7
19,The Lost World,Arthur Conan Doyle,fantasy,,1900,,,747,,,openlibrary,OL262460W,https://openlibrary.org/works/OL262460W,https://covers.openlibrary.org/b/id/8231444-M.jpg,74.7
20,El Conde de Montecristo,Alexandre Dumas,romance,,1830,,,732,,,openlibrary,OL36287W,https://openlibrary.org/works/OL36287W,https://covers.openlibrary.org/b/id/14566393-M.jpg,73.2
21,Dracula,Bram Stoker,thriller,,1897,,,732,,,openlibrary,OL85892W,https://openlibrary.org/works/OL85892W,https://covers.openlibrary.org/b/id/12216503-M.jpg,73.2
22,The Marvelous Land of Oz,L. Frank Baum,fantasy,,1904,,,724,,,openlibrary,OL18396W,https://openlibrary.org/works/OL18396W,https://covers.openlibrary.org/b/id/12648656-M.jpg,72.4
23,The Thirty-Nine Steps,John Buchan,thriller,,1915,,,715,,,openlibrary,OL76524W,https://openlibrary.org/works/OL76524W,https://covers.openlibrary.org/b/id/93020-M.jpg,71.5
24,Ozma of Oz,L. Frank Baum,fantasy,,1907,,,701,,,openlibrary,OL18415W,https://openlibrary.org/works/OL18415W,https://covers.openlibrary.org/b/id/12648657-M.jpg,70.10000000000001
25,Uncle Tom's Cabin,Harriet Beecher Stowe,romance,,1850,,,662,,,openlibrary,OL152161W,https://openlibrary.org/works/OL152161W,https://covers.openlibrary.org/b/id/12728198-M.jpg,66.2
26,The Jewel of Seven Stars,Bram Stoker,thriller,,1902,,,653,,,openlibrary,OL85891W,https://openlibrary.org/works/OL85891W,https://covers.openlibrary.org/b/id/2760301-M.jpg,65.3
27,The Red Badge of Courage,Stephen Crane,thriller,,1855,,,639,,,openlibrary,OL20844W,https://openlibrary.org/works/OL20844W,https://covers.openlibrary.org/b/id/8236915-M.jpg,63.900000000000006
28,The Moonstone,Wilkie Collins,romance,,1868,,,637,,,openlibrary,OL176092W,https://openlibrary.org/works/OL176092W,https://covers.openlibrary.org/b/id/8237041-M.jpg,63.7
29,The Emerald City of Oz,L. Frank Baum,fantasy,,1910,,,634,,,openlibrary,OL18409W,https://openlibrary.org/works/OL18409W,https://covers.openlibrary.org/b/id/1473556-M.jpg,63.400000000000006
30,The Prisoner of Zenda,"Anthony Hope, Gary Hoppenstand, Diane Mowat, Alan Marks, Francesc Ràfols, Andrew Pugsley, Summer M. Hogan, Summer Hogan, Smidgen Press, Charles Dana Gibson, Daniel Lanza Barba, Javier Fornell Fernandez, Stephen Colbourn, Katy Jackson, James Wilby, Robinson, M.",thriller,,1800,,,625,,,openlibrary,OL245401W,https://openlibrary.org/works/OL245401W,https://covers.openlibrary.org/b/id/105814-M.jpg,62.5
31,Dorothy and the Wizard in Oz,L. Frank Baum,fantasy,,1908,,,622,,,openlibrary,OL18412W,https://openlibrary.org/works/OL18412W,https://covers.openlibrary.org/b/id/12648659-M.jpg,62.2
32,The Lost Princess of Oz,L. Frank Baum,fantasy,,1917,,,591,,,openlibrary,OL18411W,https://openlibrary.org/works/OL18411W,https://covers.openlibrary.org/b/id/854819-M.jpg,59.1
33,The Story of the Amulet,Edith Nesbit,fantasy,,1905,,,578,,,openlibrary,OL407476W,https://openlibrary.org/works/OL407476W,https://covers.openlibrary.org/b/id/13241470-M.jpg,57.800000000000004
34,The Complete Life and Adventures of Santa Claus,L. Frank Baum,fantasy,,1902,,,560,,,openlibrary,OL262358W,https://openlibrary.org/works/OL262358W,https://covers.openlibrary.org/b/id/1979059-M.jpg,56.0
35,Women in Love,D. H. Lawrence,romance,,1877,,,553,,,openlibrary,OL81294W,https://openlibrary.org/works/OL81294W,https://covers.openlibrary.org/b/id/13140934-M.jpg,55.300000000000004
36,Alice's Adventures in Wonderland / Through the Looking Glass,Lewis Carroll,fantasy,,1889,,,542,,,openlibrary,OL151411W,https://openlibrary.org/works/OL151411W,https://covers.openlibrary.org/b/id/8595966-M.jpg,54.2
37,The Road to Oz,L. Frank Baum,fantasy,,1909,,,533,,,openlibrary,OL262390W,https://openlibrary.org/works/OL262390W,https://covers.openlibrary.org/b/id/8243922-M.jpg,53.300000000000004
38,The Riddle of the Sands,Erskine Childers,thriller,,1903,,,531,,,openlibrary,OL23797W,https://openlibrary.org/works/OL23797W,https://covers.openlibrary.org/b/id/2293974-M.jpg,53.1
