rank,title,authors,categories,description,published_year,average_rating,ratings_count,edition_count,isbn_10,isbn_13,source,source_id,canonical_url,thumbnail,preview_url,read_url,popularity_score
1,Alice's Adventures in Wonderland,Lewis Carroll,fantasy,,1865,,,3546,,,openlibrary,OL138052W,https://openlibrary.org/works/OL138052W,https://covers.openlibrary.org/b/id/10527843-M.jpg,https://openlibrary.org/works/OL138052W,https://openlibrary.org/works/OL138052W,354.6
2,The Wonderful Wizard of Oz,L. Frank Baum,fantasy,,1899,,,2052,,,openlibrary,OL18417W,https://openlibrary.org/works/OL18417W,https://covers.openlibrary.org/b/id/552443-M.jpg,https://openlibrary.org/works/OL18417W,https://openlibrary.org/works/OL18417W,205.20000000000002
3,Treasure Island,Robert Louis Stevenson,fantasy,,1880,,,1984,,,openlibrary,OL24034W,https://openlibrary.org/works/OL24034W,https://covers.openlibrary.org/b/id/13859660-M.jpg,https://openlibrary.org/works/OL24034W,https://openlibrary.org/works/OL24034W,198.4
4,Gulliver's Travels,Jonathan Swift,fantasy,,1726,,,1809,,,openlibrary,OL20600W,https://openlibrary.org/works/OL20600W,https://covers.openlibrary.org/b/id/12717083-M.jpg,https://openlibrary.org/works/OL20600W,https://openlibrary.org/works/OL20600W,180.9
5,The Wind in the Willows,Kenneth Grahame,"Juvenile Fiction, fantasy","Since its publication in 1908, Kenneth Grahame's The Wind in the Willows has enchanted readers, young and old. This new edition, sensitively abridged and exquisitely illustrated by Inga Moore, is sure to win over a new generation of fans. Here readers will meet the amiable Mole, his hearty friend the Water Rat, the genial Badger, and, of course, the irrepressible Mr. Toad, and enjoy some of the most memorable adventures in children's literature. Classic, yet accessible, and full of humor, this beautiful volume is the perfect addition to every family's bookshelf. Book jacket.",1908,4,3,1346,,,google,-4UgAAAAMAAJ,https://play.google.com/store/books/details?id=-4UgAAAAMAAJ&source=gbs_api,http://books.google.com/books/content?id=-4UgAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=-4UgAAAAMAAJ&printsec=frontcover&dq=subject:fantasy&hl=&as_pt=BOOKS&cd=83&source=gbs_api,http://books.google.com/books/download/The_Wind_in_the_Willows.pdf?id=-4UgAAAAMAAJ&hl=&output=pdf&sig=ACfU3U3eqhnI-kSaMY0hD8WfD_iYUYf51g&source=gbs_api,141.5282032302755
6,The Prince,Niccolò Machiavelli,fantasy,,1515,,,1406,,,openlibrary,OL1089297W,https://openlibrary.org/works/OL1089297W,https://covers.openlibrary.org/b/id/12726168-M.jpg,https://openlibrary.org/works/OL1089297W,https://openlibrary.org/works/OL1089297W,140.6
7,Through the Looking-Glass,"Lewis Carroll, Lewis Carroll, Lewis Lewis Carroll",fantasy,,1865,,,1378,,,openlibrary,OL151406W,https://openlibrary.org/works/OL151406W,https://covers.openlibrary.org/b/id/11272464-M.jpg,https://openlibrary.org/works/OL151406W,https://openlibrary.org/works/OL151406W,137.8
8,Five Children and It,Edith Nesbit,fantasy,,1905,,,950,,,openlibrary,OL99499W,https://openlibrary.org/works/OL99499W,https://covers.openlibrary.org/b/id/28174-M.jpg,https://openlibrary.org/works/OL99499W,https://openlibrary.org/works/OL99499W,95.0
9,A Midsummer Night's Dream,William Shakespeare,fantasy,,1600,,,947,,,openlibrary,OL259010W,https://openlibrary.org/works/OL259010W,https://covers.openlibrary.org/b/id/7205924-M.jpg,https://openlibrary.org/works/OL259010W,https://openlibrary.org/works/OL259010W,94.7
10,The Lost World,Arthur Conan Doyle,fantasy,,1900,,,747,,,openlibrary,OL262460W,https://openlibrary.org/works/OL262460W,https://covers.openlibrary.org/b/id/8231444-M.jpg,https://openlibrary.org/works/OL262460W,https://openlibrary.org/works/OL262460W,74.7
